GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GC8,it.polimi.ingsw.model,GodPower,0,67,0,0,0,24,0,14,0,14
GC8,it.polimi.ingsw.model,GodDecorator,0,374,0,22,0,60,0,28,0,16
GC8,it.polimi.ingsw.model,GodArtemis,0,74,0,8,0,15,0,7,0,3
GC8,it.polimi.ingsw.model,God,3,160,0,0,2,4,0,2,0,2
GC8,it.polimi.ingsw.model,GodApollo,0,148,0,14,0,22,0,10,0,3
GC8,it.polimi.ingsw.model,GodPan,0,45,1,9,0,8,1,6,0,2
GC8,it.polimi.ingsw.model,Color,0,40,0,0,0,3,0,2,0,2
GC8,it.polimi.ingsw.model,GodHera,0,59,1,13,0,6,1,8,0,2
GC8,it.polimi.ingsw.model,Build,0,114,1,9,0,30,1,14,0,10
GC8,it.polimi.ingsw.model,GodDemeter,0,173,2,18,0,27,2,11,0,3
GC8,it.polimi.ingsw.model,GodTriton,0,57,2,10,0,9,2,7,0,3
GC8,it.polimi.ingsw.model,TypeBlock,0,64,0,0,0,2,0,1,0,1
GC8,it.polimi.ingsw.model,Event,0,104,0,0,0,2,0,1,0,1
GC8,it.polimi.ingsw.model,GodStandard,0,251,1,47,0,48,1,26,0,3
GC8,it.polimi.ingsw.model,StatusPlayer,0,44,0,0,0,2,0,1,0,1
GC8,it.polimi.ingsw.model,GodMedusa,0,224,2,26,0,25,2,16,0,3
GC8,it.polimi.ingsw.model,Block,0,43,0,0,0,14,0,6,0,6
GC8,it.polimi.ingsw.model,Player,0,105,0,12,0,36,0,16,0,10
GC8,it.polimi.ingsw.model,GodMinotaur,0,280,2,32,0,35,2,18,0,3
GC8,it.polimi.ingsw.model,CurrentPlayer,0,54,0,0,0,21,0,10,0,10
GC8,it.polimi.ingsw.model,GodAthena,0,161,0,20,0,21,0,13,0,3
GC8,it.polimi.ingsw.model,GodPrometheus,0,196,0,24,0,29,0,15,0,3
GC8,it.polimi.ingsw.model,GodHephaestus,0,231,3,22,0,40,3,13,0,3
GC8,it.polimi.ingsw.model,GodAtlas,0,137,0,12,0,19,0,9,0,3
GC8,it.polimi.ingsw.model,Game,0,642,2,50,0,104,2,52,0,28
GC8,it.polimi.ingsw.model,GameMode,0,46,0,0,0,9,0,4,0,4
GC8,it.polimi.ingsw.model,Swap,0,298,2,22,0,55,2,22,0,10
GC8,it.polimi.ingsw.model,GodZeus,0,128,1,9,0,28,1,8,0,3
GC8,it.polimi.ingsw.model,IslandBoard,0,786,3,59,0,106,3,39,0,11
GC8,it.polimi.ingsw.model,ReportAction,0,38,0,6,0,14,0,7,0,4
GC8,it.polimi.ingsw.model,GamePhase,0,117,0,0,0,5,0,4,0,4
GC8,it.polimi.ingsw.model,Cell,0,125,0,10,0,26,0,13,0,8
GC8,it.polimi.ingsw.model,GodPoseidon,0,141,0,20,0,21,0,13,0,3
GC8,it.polimi.ingsw.controller,TypeCommand,0,125,0,0,0,7,0,3,0,3
GC8,it.polimi.ingsw.controller,FuncCommand,0,119,0,0,0,9,0,5,0,5
GC8,it.polimi.ingsw.controller,Controller,0,653,19,65,0,110,19,52,0,25
GC8,it.polimi.ingsw.controller,CommandConverter,0,319,0,35,0,43,0,24,0,6
GC8,it.polimi.ingsw.utils.model,Notification,0,15,0,0,0,6,0,3,0,3
GC8,it.polimi.ingsw.utils.model,ChatMessage,0,15,0,0,0,6,0,3,0,3
GC8,it.polimi.ingsw.utils.model,Command,0,49,0,0,0,19,0,8,0,8
GC8,it.polimi.ingsw.utils,Observable,0,74,0,4,0,20,0,9,0,7
GC8,it.polimi.ingsw.utils,Pinger,5,26,1,1,1,12,1,4,0,4
